id,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12
Prod_1,201004368.1,342041164.4,593086112.2,547610127.1,630284473.9,261844396.1,529432442.9,650410928.2,651504582.7,555045529.6,631180712.2,791073836.3,656813689.6,685485878,584920902.3,182620279.8,640117342.3,717727668.9,773050902.9,504610971.5,601156986.4
Prod_2,25987585.97,59172449.87,82185809.83,94163124.83,85893648.85,33946507.52,63494743.78,71060236.15,79667772.53,73055210.18,78545154.3,92110393.54,101566038.6,108742606.2,91641444.29,29198889.77,112677195.1,117547845.6,137385911.6,120278508.3,122322959.9
Prod_3,3081520,5006657,10474249,11174135,11966009,5919493,6344450,10570769,8577884,9922107,13599814,8328496,13160307,11938007,12660273,3062434,9472801,13060293,12605925,11281945,11438141
Prod_4,9335207.375,16471069.02,18865965.39,21775571.24,22671164.4,9185578.62,21538610.77,16090194.95,18387913.66,19166483.14,21966126.95,18917780.04,21041729.32,21986757.94,24130645.17,7412899.886,18371828.99,18512770.52,20295312.52,18002661.32,20616367.56
Prod_5,96398055.82,165967630.1,235253958,263729756.3,338660913.4,164109232.3,333280039.1,269442772,281205912,321616116.7,332122782.5,312969818.8,344832101.5,442404179.7,381399132.9,129137317.6,366028497.7,347105053.1,381050004.9,348749297.6,403144145.8
Prod_6,81258190.75,134463998,201460722.1,239387283.8,227300227.4,84806211.1,177469121.2,199427995.2,214028098.1,236502384,262982728.5,204486932.7,212425913.2,209572802,228780026.4,69398329.6,187984293.8,183597270.6,355048777.4,241447966.8,260644983.4
Prod_7,38371741,60875720,84379317.98,93058651.15,95999085.59,37085110.23,103652787.3,100406915.8,94424509.99,86155404.26,116784679.1,86117754.88,109496053,105520847.5,98432888.84,28251958.22,93472394.03,93431067.59,89361131.63,77606688.31,83512015.1
Prod_8,32970482.47,51543157.56,78096298.31,80958033.69,104738258.7,29871580.75,73075495.7,70039485.44,79418577.18,88763346.91,111494476.8,128489166.2,83353115.06,105707813.8,96213626.16,30105875.4,141982065.6,152299140.6,103990704.2,119132615.8,121717048.7
Prod_9,74099556.09,149226766.5,206712906.4,220380011.4,230763370.6,89254719.63,217838534.6,233558330.1,190687325.1,223366654.3,228046924.7,231618107.2,255301324.2,259558420.9,229681792,93292765.83,247382833.7,258035030.7,252422953,231119343,229263475.8
Prod_10,10854433,18195179,34441242.5,44816550,52241994,14145888.5,30191749,28559609.5,29298762,33239901.5,34001528,30891337,29301530,34526240,44215440.5,11192675,32509808,30706876,33782834,29608201,33940957
Prod_11,57197857.48,87251083.52,100989475.9,120903597.2,115608034,43328459.6,85281078.44,74676411.32,80411985.36,133683263,148163204.1,134809306.4,126541904.4,107610690,105330902.2,30607352.96,85252177.96,82448982.28,134353909.2,102281812.1,129658976.2
Prod_12,37568539.24,63395161.8,105680100.6,212298338.3,302431592.3,49650826.87,93860044.52,91619873.34,93489941.33,125289588.3,132717161.1,109594309.5,111908903.8,134123907.3,270859970.5,39396333.27,116257853.8,112116638.3,131123888.9,91929340.28,112586512.2
Prod_13,7516964.66,14084371.78,65867102.15,68181678.3,21051453.25,14823645.65,16656402.39,21268143.11,27878662.21,59438312.41,47466027.73,20755900.68,25046196.36,128452307.6,90042046.44,14211003.24,18758409.14,40390051.62,56373754.04,80097964.71,102345223.8
Prod_14,16626536.03,32927670.91,49283190.19,45568461.81,40003839.03,16385690.09,26925470.72,34125740.13,38396586.19,22547712.28,22060448.94,23424125.34,29935589.59,45716172.75,44582970.81,9802657.406,42637239.75,44755756.06,45402985.25,46665452.47,45345455.66
Prod_15,197811194.3,251177753.3,459292173.5,303470296.8,136669007.2,21909897.27,58108996.56,46306660.89,55114604.04,61745290.18,67777126.28,185292130.8,177027004,305271263.4,197757490.8,185449275.1,694017907.2,676109577.7,766246295.8,673980164,582649089.8
Prod_16,11808354.53,27859710.12,43114586.73,40282909.92,46619353.45,19646598.57,40222305.31,40092578.23,39971392.38,46980879.94,51401681.58,45877319.28,44216818.43,43759354.13,42196909.93,13301353.26,40298443.68,44333174,45715919.61,45374606.72,48616775.44
Prod_17,48382459.1,76212115.95,117764024.2,159778768.4,128801539.6,77606933.39,101573291.2,115109983.8,167597946.2,188205057.8,177147271.8,154788593.2,182308450.5,385569825.4,350828299.7,52448879.3,167185702.7,184482400.1,185723971.8,234308221.9,204104265.8
Prod_18,25326824.15,45101852.63,57384505.42,62185697.42,68988404.19,26365227.23,47675283.06,43700500.99,55765434.68,81126520.46,99179246.78,96952891.36,97931074.61,83623831.44,77577025.64,19805114.66,75768139.45,93904989.97,118433396.6,98527117.83,184054712.1
Prod_19,22889576.94,39988076.38,54119744.68,55638880.81,63793425.89,29400809.95,42230455.55,59673073.89,57085110.83,62228000.49,66582160.91,82418188.27,65489929.71,65335558.85,54922569.05,18016266.35,49301460.17,66739991.77,100677000.9,77674194.52,92416404.72
Prod_20,99107917.68,147967528.8,209765597,236767712.7,244168915.6,120725722.5,257925520.9,266447248.2,288472857.8,301189222.5,338134040.8,343935852.7,348552525.8,329306868.8,313061288.5,111087610,291044985,321675952.9,370388717.8,313132140.6,331347932.9
Prod_21,74996915.98,123801586,198486070.5,148118120.5,256969707,58375076.67,102772748.3,154397529.5,193466285.7,241367368.7,229437443.5,179316210.8,216313561.9,252446310.4,226441993.7,35986928.8,132706329.9,141367130.6,196398627.8,161837025.2,193497459.3
Prod_22,16523172.32,40733411,61637926.28,94114335.72,71017583.88,35721379.48,59147510.76,54902491.44,54077538.6,66030112,77117751.2,71316168.59,79953063.8,75510970,92823393.4,25109854.6,75882280.8,71202501.2,77493234.8,72252334.8,77515875.2
Prod_23,33439769.97,50193447.71,91161749.49,89498958.24,86260913.95,41776196.31,69709551.54,88582934.4,88449543.92,73887524.57,107531299.5,103878470.4,96331549.25,86697245.32,86203235.62,34168360.46,93493244.46,94051062.36,109873321.1,101578063.9,102154327.4
Prod_24,28952564.9,52229699.91,73304430.87,68977954.98,68665318.26,34922049.78,68320040.42,68298771.84,71727336.85,90647664.23,94146316.58,70886577.46,69211424.28,88188301.18,149832598.4,18977488.78,147267792.7,109535580.4,81504759.38,67845298.58,88578586.55
Prod_25,4627281.029,9019007.418,19547400.29,17285360.47,16236516.55,6238193.825,14434371.77,14297801.91,17199326.34,16041040.53,18810327.84,16224549.35,19195326.93,23078149.58,25094807.76,6203413.647,20497982.65,22738962.27,23306861.82,21680630.54,23096817.15
Prod_26,6269928.608,11899703.16,19060594.76,17854697.77,18569489.2,14656061.13,18160017.46,18301395.98,20041369.48,23290699.33,24104868.2,21444969.42,23013241.08,23884716.76,21903189.79,11246767.94,19304683.7,22412352.29,24155409.06,21490839.2,30312390.9
Prod_27,30679233.35,36554817.12,67575186,51702710.36,56664402.23,27410071.47,49106749,50115889.47,52507873.18,56933697,61995132.93,54101950.15,58041978.89,60108354.13,59410702.36,12254313.52,48191128.82,56934738.17,63206158.33,62675618.5,71321995.97
Prod_28,698040,2238147.5,3980738,4213846,3616170,1598158,3504648,3983796,3831094,4189418,4257822,3472860,5779013,9649176.5,7079148.5,1063983,5249685,5854387.5,5643417,4910176.5,5005874.5
Prod_29,3644520,6185520,15219380,13994860,12208900,4665760,12809060,22846010,23142460,22785510,28416850,24118930,25939980,39170120,27281870,9554160,21928830,29425990,57073280,35519550,35629660
Prod_30,15330613.14,43809172.67,61482004.09,43637982.07,44783540.39,34237316.28,41899533.49,98650684.56,52462366.37,54807240.28,60260461.64,56295378.81,67833447.21,58601354.05,59217090.03,11885033.68,52861606.42,55081193.52,71162509.96,113755288.7,108610587.9
Prod_31,16404550.21,35995319.93,54388952.05,50290540.48,51205657.56,30417796.23,41327999.21,50307638.23,48703604.89,48440066.75,61664081.99,63804196.07,67337376.99,52673368.81,47201717.81,18533202.71,43719310.85,57057827.21,79549893.23,53774610.14,55948378
Prod_32,9307646.575,16529755.41,23650830.73,36323370.27,22528295.09,10058076.58,27613914.67,27060529.6,22685233.93,97404653.58,76796409.13,56964092.5,90870697.65,65463081.63,47870011.84,11918673.27,25892492.32,32462119.5,29097238.23,25919753.55,24971692.8
Prod_33,8557392.542,12342633.93,19440927.77,17534761.95,19300975.25,10761670.88,14507509.83,16277446.5,16791362.14,22013877.46,23895588.7,20992435.94,23457806.54,23614337.11,20144580.06,13784401.99,20160279.41,23379830.65,26714873.78,26090868.91,26003923.8
Prod_34,1985008,3359304,6133245.333,6912349.333,5246536,1727376,3514504,3559512,3643320,4926048,4198936,3282480,3866808,4093400,4322320,1587696,3049680,3634008,4153152,3335248,3827232
Prod_35,7270244,12832830,29144425,28008988,29292561,15830259,25701798,28589606,33410711,40517454,41128469,33944844,43401121,50419376,41454891,13579264,37645409,45217712,55230745,43641640,44681524
Prod_36,985527.7714,1918299.886,3537115.429,2719749.486,4027122.286,1996071.771,3538992.914,2926256,3650830.171,6530233.6,8204832.457,8945373.714,4093189.486,3699966.171,3408769.829,922302.1714,2721931.429,2871910.4,3204935.771,2598288,3036114.286
Prod_37,834732.9898,1323880.284,4859790.247,2600972.571,5960703.32,4395463.62,1411930.157,2437131.7,2064213.259,4309181.986,2273081.873,1936491.988,2334937.52,2942008.239,2710156.277,5357592.244,1749366.024,2335084.086,2285167.855,3256472.804,2882061.745
Prod_38,25995222,39998205,62125056,53316495,66764790,28953558,54526986,91994427,112176981,103871106,56257497,17799129,,107909928,61798599,33769521,67192362,106526097,113572368,48252078,35413362
Prod_39,6445590.611,11190338.26,19966550.7,18526724.74,19998619.06,10276667.88,16429363.24,19643144.91,21628982.89,23609205.01,25444446.45,24029093.06,24981206.64,24649420.88,23218466.05,9126675.028,24358908.42,26973497.41,30795781.15,27657859.52,30800678.25
Prod_40,2108303,5375590,10881539,12325167,10510453,5064115,5586975,7415795,8646462,7800399,10754826,8621961,9350364,10137917,11815630,2270571,8371996,8444369,13152660,10077511,14783686
Prod_41,5820440,15947315.5,22841010,17918435,24773286,14969668,30250311,33676420,34465630,25303881,18759631,775556,6122,45167433,28242434,4033423,33363254,45132560,14620572,7508633,33234684
Prod_42,604930,1010870,1256516,2279566,716990,333718,670794,953800,1291798,27180082.81,19917513.45,2550686,2638390,2056232,2186450,257182,1047422,1748076,968964,1813538,1888428
Prod_43,13855723.12,23269234.42,39412989.87,36080239.26,39264476.35,19218926.48,34009999.37,39271862.62,38943729.48,45007765.05,50258003.96,48779440.82,49651258.08,54217186.93,45691977.07,19507369.3,45950168.65,57161437.27,70277493.42,56576978.47,58992456.71
Prod_44,105999,301436,878781,807345,383577,154800,401218,676473,357827,372624,902686,359764,570012,896220,766475,100168,511866,815664,799829,406557,403263
Prod_45,284974.6191,399271,701311.2381,816763,888799,461716,794717,695812,829611,1230728,1372890,1290497,1213331,1684029,1589310,813570,1157024,1575748,1751412,1582550,2255240
Prod_46,134082,398736,1176846,899802,1089946,149526,367848,315900,252720,9828,12636,,,,,,,,,,
Prod_47,3401.177143,14455.00286,3401.177143,,5489.888468,6728.305507,17634.03366,1700.588571,,,,,,,,,,,,,
Prod_48,1241212,1604839,4106675,2831819,3174041,1622975,2643464,3747993,3386245,4263081,4030716,3511140,3755236,3579418,3156362,1104002,3745784,4191318,4891498,4682049,4207778
Prod_49,32169.75,55760.9,82187.35,245109504,204547684,169243618.9,2584666.75,243454.125,7270,49072.5,32715,39076.25,62703.75,9087.5,265831839.3,64974389.1,205014,25626.75,1067781.25,8542.25,
Prod_50,35229.25272,326895.6195,352292.5272,6447099.207,4823090.367,974238.1141,579988.9402,253650.6195,636554.7799,,2197350,1472224.5,2512303.5,5339560.5,14462225.25,,1999588.5,21772076.25,,2395111.5,1889721
Prod_51,,,,24086.195,,,,,,,,8028.731667,,8028.731667,24086.195,,,8028.731667,8028.731667,,
Prod_52,,,,,11273808,4538352,5477472,6130488,6545448,6565104,7054320,5818722,6443892,15774486,16861572,3390933,10499307,31339035,45653244,30909333,25868661
Prod_53,,,,,,85440,208260,,,,320400,232290,226890.5,3226373.5,2540277.5,33339,184026.5,75686.5,524617.3125,1046487.938,2643300
Prod_54,,,,,,,921400.8697,428854.7827,,,,,,,,,,,1342891.345,,903869.1746
Prod_55,,,,,,,,467500,484500,187000,195500,,,,,,,,,,
Prod_56,,,,,,,,,2482960,147600,196800,,98400,98400,98400,,98400,131200,,,
Prod_57,,,,,,,,,,9715500,1905750,708750,2250,,,,,,,,
Prod_58,,,,,,,,,,,,,,,,707688.7726,2679107.496,4323641.406,5220047.184,2308413.377,3369946.536
Prod_59,,,,,,,,,,,,,,,,,,,11429933.29,31654385.5,38154682.09
AVERAGE,28295435.65,46995771.99,74492260.1,80266043.8,80969101.02,33477952.95,57353373.6,63283776.43,67141866.29,74205802.91,76022345.38,77111049.57,79112491.8,92484755.57,91152312.02,29000430.77,84311685.4,88392207.22,100746509.5,86824056.7,93707051.66
